realClass,\histAge,\histAgePerReview,\histReviewsPerUser,\histDiscussionCount,\histIPCount,\histReviewCount,\histUserCount,\histModifiedLinesRate,\histOccasionalUsersReviewsRate,\histLastThreeMonthsReviewsRate,\histMostActiveUsersReviewsRate,\histStdReviewsPerUser,\histReviewsPerDay,\histProbReview,\ari,\flesch,\coleman,\kincaid,\fog,\smog,\li,\numPerguntas,\numPassiveVoice,\porcMenoresFrases,\porcMaioresFrases,\porcConjucoes,\numAuxiliarVerb,\inicioArtigo,\inicioPronome,\inicioConjuncaoSubordinadas,\inicioConjuncao,\porcSubstantivacao,\porcPreposicao,\inicioPronomeInterrogativo,\inicioPreposicoes,\wordCount,\sentenceCount,\porcToBe,\numPronomes,\netAssortativityInOut,\netAssortativityOutIn,\charCount,\netAssortativityInIn,\netInDegree,\netOutDegree,\netAssortativityOutOut,\netClusteringCoefficient,\netLinkCount,\netTranslationCount,\netReciprocity,\netPageRank,\CitPerTLen,\ImagesPerSec,\numCitations,\CitPerSec,\minSLen,\maxSLen,\stdSLen,\minAbsLen,\XLinksPerSec,\ssCount,\sCount,\numExtLink,\tamMaiorFrase,\avgSLen,\meanSubsectionPerSection,\LinksPerTLen,\avgPLen,id
'SB',1000.0,0.14,1.67,4.0,0.0,5.0,5.0,0.0,100.0,0.0,60.0,1.15,5,3.03347E-9,13.7,8.3,17.2,15.6,17.0,14.0,53.3,0.0,1.0,0.5,0.0,0.0357,0.0,0.0,1.0,0.0,0.0,0.0714,0.1786,0.0,0.0,28.0,2.0,0.0357,1.0,0.0,0.18,1012.0,0.0,0.0,82.0,0.71,0.6897,91.0,0.0,0.0,0.5803,0.0,1.0,0.0,0.0,278.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,11.1209,9.3333,9915833
'SB',1230.0,14.43,4.0,4.0,12.0,64.0,52.0,21.52,21.88,7.81,53.12,9.06,52,2.26878E-8,9.9,73.3,9.7,7.8,10.3,9.1,36.8,0.0,3.0,0.1538,0.0769,0.0438,1.0,1.0,2.0,2.0,0.0,12,0.1275,0.0,1.0,251.0,13.0,12,13.0,0.03,0.02,2867.0,0.0,5.0,24.0,0.14,0.21958,25.0,0.0,0.04167,0.3177,0.0,0.0,0.0,0.0,147.0,825.0,157.87,347.0,0.75,0.0,4.0,3.0,40.0,716.75,0.0,114.68,62.75,6044227
'GA',2271.0,1.39,2.53,30.0,373.0,856.0,483.0,16.1,26.17,8.18,25.93,7.05,0.3769,5.59841E-5,15.9,57.3,11.8,12.4,15.5,12.2,52.9,0.0,33.0,0.5714,0.2078,0.0521,6.0,7.0,14.0,11.0,0.0,0.0112,0.1164,0.0,11.0,2225.0,77.0,0.0207,120.0,0.25,0.02,21532.0,0.01,78.0,126.0,0.4,0.11023,127.0,1.0,0.33333,1.3524,1435.4667,125,15.0,1875,10.0,3792.0,168.63,553.0,0.25,4.0,8.0,2.0,104.0,2691.5,0.5,169.5433,247.2222,317070
'FA',2852.0,0.49,2.64,147.0,1286.0,2635.0,1349.0,23.13,22.47,8.16,23.07,10.03,0.9239,0.00197948,21.4,35.2,13.2,17.8,21.7,16.6,66.0,3.0,73.0,0.5966,0.2185,0.0524,62.0,22.0,14.0,4.0,2.0,0.0473,0.1546,0.0,15.0,4522.0,119.0,0.0314,172.0,1.53,0.1,43694.0,0.14,347.0,247.0,1.09,0.07531,257.0,17.0,0.47773,1.4599,1680.5385,0.5,26.0,2.6,15.0,8538.0,237.08,3847.0,2.4,12.0,10.0,24.0,199.0,4369.4,1.2,170.0156,173.9231,9119240
'AC',2859.0,1.43,2.07,84.0,184.0,600.0,416.0,3.95,41.67,6.5,23.5,3.53,0.2099,4.72231E-5,13.8,56.8,11.9,11.3,13.8,11.7,48.3,0.0,17.0,0.4923,0.1769,0.0519,6.0,37.0,6.0,4.0,0.0,0.0144,0.1497,1.0,15.0,3119.0,130.0,0.0077,84.0,2.69,0.23,27998.0,0.44,522.0,270.0,1.39,0.03363,273.0,41.0,0.45556,3.4172,4666.3335,1.5,6.0,1.0,168.0,5111.0,317.75,449.0,1.3333,9.0,6.0,8.0,163.0,4666.3335,1.5,102.5568,111.3929,14105
'FA',2543.0,1.46,2.87,237.0,502.0,1224.0,722.0,9.49,25.57,3.84,28.43,14.15,0.4813,2.91422E-4,17.5,47.5,12.7,14.2,17.4,13.9,57.4,0.0,108.0,0.5561,0.2146,51,30.0,42.0,19.0,26.0,1.0,0.0173,0.1343,2.0,21.0,6249.0,205.0,0.0274,305.0,1.05,0.08,50028.0,0.07,162.0,189.0,1.22,0.0501,196.0,28.0,0.37037,3498,2001.12,0.5,25.0,2.5,11.0,7508.0,336.78,2815.0,0.7,8.0,10.0,7.0,146.0,5002.8,0.8,255.2449,240.3462,157814
'FA',1480.0,4.47,4.59,127.0,109.0,614.0,505.0,1.32,19.71,1.79,57.0,26.78,0.4149,1.16977E-4,13.3,51.1,13.1,11.3,15.0,13.2,50.3,12.0,304.0,0.4636,0.2066,0.0457,126.0,133.0,58.0,39.0,9.0,31,0.1062,8.0,72.0,15729.0,755.0,0.0269,696.0,0.79,0.2,119883.0,0.09,173.0,416.0,1.91,0.12365,428.0,6.0,0.30288,6.4439,599415,1.5,200.0,25.0,28.0,11179.0,648.08,3030.0,4875,20.0,8.0,39.0,104.0,14985375,2.5,280.1005,169129,3135714
'ST',1010.0,7.48,3.33,3.0,2.0,32.0,30.0,4.76,21.88,12.5,59.38,5.96,0.0317,1.17994E-8,17.0,47.4,13.6,13.6,16.6,13.6,57.2,0.0,26.0,0.6061,0.2727,0.0678,0.0,10.0,3.0,0.0,0.0,0.0118,0.1098,0.0,3.0,929.0,33.0,0.0388,42.0,0.08,0.0,8652.0,0.0,25.0,53.0,0.17,0.14701,55.0,0.0,0.30189,0.7054,1442.0,0.5,6.0,3.0,68.0,3998.0,39.26,2471.0,0.0,0.0,2.0,0.0,90.0,4326.0,0.0,157.3091,132.7143,9704143
'FA',1759.0,3.6,3.59,66.0,141.0,378.0,237.0,2.7,20.9,3.44,39.42,16.21,0.2149,2.37713E-5,33.9,10.0,12.3,28.0,31.4,19.3,92.8,0.0,55.0,0.6618,0.2941,0.0659,48.0,13.0,7.0,5.0,0.0,0.0147,0.1019,0.0,7.0,4414.0,68.0,0.0353,90.0,0.33,0.04,30758.0,0.02,53.0,99.0,0.61,0.11089,107.0,7.0,0.29293,0.7622,961.1875,625,32.0,4.0,10.0,5078.0,146.24,1756.0,0.75,11.0,8.0,6.0,356.0,3844.75,1375,287.4579,441.4,1471706
'SB',2059.0,37.63,2.31,1.0,7.0,44.0,37.0,6.12,36.36,2.27,34.09,3.61,0.0214,9.92566E-8,10.9,60.1,11.1,9.6,12.6,11.4,48.9,0.0,10.0,0.3,0.15,0.0262,0.0,11.0,1.0,1.0,0.0,0.0157,0.1545,0.0,3.0,382.0,20.0,0.0262,5.0,0.04,0.01,3256.0,0.0,8.0,35.0,0.16,0.08013,38.0,0.0,0.08571,0.5771,0.0,0.0,0.0,0.0,377.0,2295.0,266.58,2302.0,2.0,0.0,1.0,2.0,36.0,3256.0,0.0,85.6842,95.5,589980
'ST',1370.0,15.9,5.14,2.0,0.0,36.0,36.0,19.13,16.67,13.89,61.11,7.56,0.0263,4.42169E-8,8.8,57.5,12.7,7.8,10.2,9.9,43.9,0.0,1.0,0.6667,0.1429,0.0255,1.0,1.0,0.0,0.0,0.0,0.0255,81,0.0,0.0,432.0,42.0,0.0023,0.0,0.03,0.04,4565.0,0.0,8.0,76.0,0.3,0.11421,94.0,0.0,0.10526,2.7545,2282.5,0.0,2.0,0.1818,15.0,527.0,82.73,1.0,0.0,7.0,11.0,0.0,80.0,415.0,0.6364,48.5638,54.0,4248260
'AC',958.0,4.42,3.75,16.0,6.0,66.0,60.0,33.33,21.21,37.88,56.06,8.95,0.0689,1.67084E-7,16.3,50.1,12.0,13.5,16.4,13.1,54.9,0.0,33.0,0.5472,0.2453,0.0458,8.0,12.0,5.0,2.0,0.0,0.0206,0.1103,0.0,12.0,1550.0,53.0,0.0284,108.0,0.03,0.01,12499.0,0.0,7.0,43.0,0.2,0.08485,46.0,1.0,0.11628,0.6494,1249.9,0.6,10.0,2.0,12.0,2554.0,63.99,1761.0,0.0,2.0,5.0,0.0,105.0,2499.8,0.4,271.7174,221.4286,10747069
'FA',1883.0,6.28,3.23,27.0,165.0,498.0,333.0,4.15,22.49,4.02,42.77,12.49,0.2645,3.18805E-5,34.8,23.1,14.4,25.8,27.5,13.1,88.8,1.0,24.0,0.7485,0.2036,0.0078,3.0,13.0,3.0,4.0,0.0,0.0044,0.0256,4.0,5.0,10588.0,167.0,0.0032,55.0,2.47,2.78,106744.0,0.53,219.0,1140.0,12.88,0.00523,1402.0,7.0,0.1386,18.2396,106744.0,0.0,1.0,0.0833,11.0,19496.0,141.73,569.0,0.25,0.0,12.0,3.0,675.0,8895333,0.0,76.1369,1512.5714,1039507
'FA',2214.0,5.93,2.32,14.0,48.0,178.0,130.0,21.05,37.64,7.3,26.97,4.54,0.0804,5.89783E-6,13.8,55.8,11.7,11.6,14.9,12.7,49.4,0.0,87.0,0.3889,0.1597,0.0494,19.0,15.0,23.0,6.0,0.0,0.0238,0.1288,6.0,16.0,3525.0,144.0,0.0363,226.0,0.49,0.08,27449.0,0.06,144.0,205.0,0.7,0.11434,215.0,1.0,0.46341,1.7778,0.0,0.5,0.0,0.0,842.0,2521.0,297.83,980.0,0.25,12.0,4.0,1.0,79.0,6862.25,3.0,127.6698,117.5,360267
'SB',1229.0,14.64,1.79,7.0,10.0,44.0,34.0,12.5,52.27,9.09,25.0,2.32,0.0358,1.94767E-8,14.6,54.7,11.6,12.2,14.7,12.1,52.5,0.0,10.0,0.4706,0.1765,0.0603,0.0,0.0,2.0,3.0,0.0,0.0045,0.1406,0.0,1.0,448.0,17.0,29,29.0,0.06,0.05,3780.0,0.02,8.0,22.0,0.17,0.15741,24.0,2.0,0.09091,0.2362,0.0,0.3333,0.0,0.0,92.0,1086.0,163.68,95.0,0.3333,1.0,3.0,1.0,48.0,1260.0,0.3333,157.5,56.0,6059533
'SB',1910.0,45.82,1.14,7.0,2.0,26.0,24.0,15.22,92.31,7.69,15.38,0.36,0.0136,1.45821E-7,9.7,63.8,10.6,8.6,11.8,11.0,45.0,0.0,6.0,0.4444,0.1111,0.0581,0.0,0.0,4.0,0.0,0.0,0.0065,0.1226,0.0,1.0,155.0,9.0,0.0452,10.0,0.1,0.01,2145.0,0.01,17.0,17.0,0.1,0.10805,21.0,6.0,0.23529,63,0.0,0.0,0.0,0.0,19.0,940.0,202.65,945.0,0.0,0.0,2.0,0.0,35.0,1072.5,0.0,102.1429,51.6667,5199198
'AC',2097.0,7.95,3.87,19.0,8.0,209.0,201.0,0.69,27.75,1.44,68.42,18.14,0.0997,1.6022E-5,15.2,51.5,12.0,12.8,16.5,13.7,54.9,0.0,149.0,0.5754,0.2,41,17.0,88.0,9.0,14.0,0.0,0.0187,0.1215,0.0,39.0,7689.0,285.0,0.0261,101.0,0.1,0.14,63255.0,0.01,27.0,429.0,1.62,0.03888,446.0,0.0,0.01166,7.7656,780.9259,1.6667,81.0,9.0,15.0,11198.0,206.17,1594.0,2.2222,12.0,9.0,20.0,225.0,7028.3335,1.3333,141.8274,142.3889,503750
'BC',2835.0,1.39,1.9,45.0,316.0,801.0,485.0,30.36,39.2,8.49,18.35,3.47,0.2825,1.43787E-4,10.1,64.9,10.8,8.6,11.9,11.0,39.4,0.0,113.0,0.5297,0.1405,0.0574,24.0,38.0,25.0,5.0,0.0,0.0165,0.1095,1.0,9.0,3278.0,185.0,0.0464,83.0,4.63,0.1,25963.0,0.47,617.0,127.0,0.95,0.00692,131.0,39.0,0.17323,1.6085,1997.1538,1.1,13.0,1.3,16.0,3819.0,365.26,616.0,1.0,6.0,10.0,10.0,229.0,2596.3,0.6,198.1908,96.4118,22479
'SB',897.0,25.67,1.2,1.0,0.0,6.0,6.0,0.0,100.0,33.33,33.33,0.45,0.0067,2.53777E-10,5.5,95.7,6.5,3.6,6.0,3.0,28.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,15.0,1.0,0.0667,0.0,0.01,0.0,153.0,0.0,2.0,1.0,0.0,0.16667,4.0,0.0,0.0,-0.0129,0.0,0.0,0.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,38.25,7.5,11830457
'FA',1698.0,3.99,2.67,41.0,51.0,235.0,184.0,13.36,33.62,3.83,42.13,7.59,0.1384,3.33894E-5,12.1,46.6,12.6,11.5,15.2,13.4,48.3,0.0,57.0,0.4643,0.2143,0.0413,34.0,11.0,14.0,4.0,0.0,0.0319,0.1184,1.0,5.0,2129.0,112.0,0.0413,74.0,0.2,0.03,18979.0,0.01,31.0,128.0,0.84,0.03885,135.0,9.0,0.0625,1.6175,1054.3889,1.0,18.0,2.25,15.0,2740.0,145.33,1583.0,1125,4.0,8.0,9.0,70.0,2372375,0.5,140.5852,106.45,1706275
